dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1547_autoUniv-au1-1000,0.004875659942626953,0.004100530959359322,0.0028153419494628905,0.0028907434554172775,0.7329999999999999,0.0040000000000000036,0.7532402332600553,0.00365618049893018,0.9514148376564483,0.006634404121493428,0.8407850384786109,0.0022738567284491173,0.6649765199163146,0.030727621879347574
1559_breast-tissue,0.0016915321350097657,0.0018226239855844866,0.008349037170410157,0.0024280111924379396,0.5380952380952382,0.02857142857142855,0.5,0.02874797872880344,0.5755555555555556,0.10827491302293185,0.5312629399585921,0.05019327040072685,0.5472727272727272,0.0408967433666565
1565_heart-h,0.01419377326965332,0.004091258460267065,0.0032179832458496095,0.0036079970696662406,0.8302746931618937,0.055274104147625035,0.8534909891135822,0.06786805283239626,0.8938833570412518,0.02258736392551013,0.8719219159370171,0.03912359457709042,0.8979956032587613,0.047398214644794254
1566_hill-valley,0.0588287353515625,0.04063266546703183,0.0020875453948974608,0.0031054311846131655,0.9967044179165392,0.0030804697395733754,0.996761080514031,0.003966904212866778,0.9967346394775423,0.003999289074515605,0.9967412218731573,0.003043884348704086,0.9980428939535297,0.0025284671228172797
1570_wilt,0.02173027992248535,0.0018076181120862244,0.0022366523742675783,0.0027533891155641713,0.9580356303469022,0.03294416946548882,0.9788533286756369,0.005277492111570126,0.9768329873290857,0.03658565629329992,0.9774558023250896,0.01837741274979808,0.97151192245335,0.028418884087662615
1600_SPECTF,0.01409907341003418,0.004261350681069263,0.0019235610961914062,0.002938544509162306,0.7116002795248078,0.051135471048626986,0.8165098311390452,0.025227698103272134,0.8207087486157253,0.04848222284904903,0.8182806952481819,0.03491973960910463,0.7439242927615021,0.06569233708889334
16_mfeat-karhunen,0.020812082290649413,0.0021225609652477406,0.003937244415283203,0.0034962112499249943,0.9865,0.011247221879202001,0.9151781642889713,0.08766918988678378,0.9650000000000001,0.025495097567963913,0.9370276099461442,0.04944253462633131,0.9956805555555555,0.004540286062668786
182_satimage,1.1028957843780518,0.013247720132514728,0.0032128334045410157,0.0021489313775700097,0.9866251944012442,0.0020514628239926697,0.9745568668619515,0.00891122466998997,0.9692959485640076,0.011810898980576624,0.9718256898646761,0.004388767144049956,0.9980623409369915,0.0009843143114316058
187_wine,0.012673091888427735,0.0033251372447279212,0.003035449981689453,0.0038371431454156577,0.9160317460317462,0.061160359459056464,0.8925000000000001,0.07271519786124495,0.9,0.1324802642213672,0.8902150537634409,0.08812770980918705,0.9817398474541331,0.018290467275348946
18_mfeat-morphological,0.019089221954345703,0.0020583730411240734,0.0011625289916992188,0.0023250579833984375,0.9984999999999999,0.001999999999999996,1.0,0.0,0.985,0.020000000000000018,0.9923401493021746,0.010240374647573226,0.9857083333333332,0.01930687445534803
20_mfeat-pixel,1.1501746654510498,0.02239428785674099,0.0023927211761474608,0.0009641558715609219,0.9884999999999999,0.008000000000000021,0.9258362369337979,0.06902261376280701,0.9700000000000001,0.029154759474226497,0.9454243392861279,0.035405025850149346,0.9951944444444445,0.006809437668267826
22_mfeat-zernike,0.022748613357543947,0.0028192424530443724,0.004430103302001953,0.0020248536258763417,0.983,0.010295630140987024,0.8940419865012281,0.07897027732177304,0.95,0.03162277660168377,0.9194552775007715,0.04724938340686561,0.9942500000000001,0.0069770622863887305
