abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11
0.13335,0.09733775000000001,0.061500000000000006,0.044887999999999977,0.11689999999999999,0.10537133333333334,0.1875,0.13088766666666668,0.049550000000000004,0.037908666666666674,0.055600000000000004,0.030890000000000032,0.04595,0.03481500000000001,0.049699999999999994,0.03780000000000002,0.049400000000000006,0.034463499999999994,0.06185,0.03749375,0.059500000000000004,0.04817558333333331,0.04595,DyS,6,0.030890000000000032,HDy,5,5,8,6,9,7,4,1,10,0,2,3
0.0,0.11606900000000002,0.0,0.05980837499999996,0.0029,0.11559083333333334,0.0029,0.15038846666666672,0.003,0.03974909999999999,0.008150000000000001,0.05130081666666667,0.0012,0.03649749999999999,0.0,0.04211850000000001,0.0,0.04786600000000002,0.00395,0.04237066666666666,0.00395,0.04949999999999998,0.0,CC,0,0.03649749999999999,DyS,6,6,4,7,9,8,10,5,1,2,0,3
0.0151,0.16891400000000004,0.01115,0.107706,0.011200000000000002,0.16319237499999992,0.01955,0.13028291666666664,0.009250000000000001,0.041083000000000015,0.0083,0.055228916666666655,0.008150000000000001,0.05330469523809523,0.0087,0.04724500000000002,0.00885,0.0797681666666667,0.01085,0.07024437500000003,0.01115,0.04812,0.008150000000000001,DyS,6,0.041083000000000015,SMM,4,4,7,10,6,5,9,8,1,3,2,0
0.16845,0.10547183333333335,0.08505000000000001,0.08848499999999997,0.1422,0.08994695833333333,0.22094999999999998,0.10168083333333332,0.0733,0.04096000000000001,0.05785,0.04944654166666668,0.05915,0.052220400000000014,0.06935000000000001,0.04155930000000001,0.09140000000000001,0.08794487500000002,0.0743,0.048615958333333334,0.07165,0.043775833333333326,0.05785,HDy,5,0.04096000000000001,SMM,4,4,7,10,9,5,6,8,1,2,3,0
0.34765,0.23933487500000003,0.09415000000000001,0.16418599999999994,0.06105000000000001,0.22001349999999995,0.32420000000000004,0.1905281666666666,0.0774,0.07110350000000004,0.21065,0.1295360833333333,0.0809,0.14293133333333347,0.0758,0.06330975000000001,0.08865,0.16516650000000016,0.04125,0.10031875000000003,0.0414,0.11548066666666668,0.04125,MAX,9,0.06330975000000001,SORD,7,7,4,9,10,5,6,1,8,3,2,0
0.5,0.45608750000000015,0.5,0.3351009999999999,0.3969,0.3776642916666668,0.3969,0.3428884166666667,0.06995,0.10673549999999997,0.5,0.33366799999999974,0.5,0.23370499999999997,0.06315,0.08511675000000002,0.5,0.3444270000000001,0.5,0.22835375000000002,0.5,0.24195000000000003,0.06315,SORD,7,0.08511675000000002,SORD,7,7,4,9,6,10,5,1,3,8,2,0
0.5,0.4480082500000002,0.5,0.3490159999999998,0.37075,0.3763869416666667,0.37075,0.35299849999999994,0.13175,0.07308450000000007,0.5,0.19685599999999975,0.5,0.21392350000000004,0.10385,0.07053400000000007,0.5,0.3086529999999999,0.5,0.169032,0.5,0.18212899999999999,0.10385,SORD,7,0.07053400000000007,SORD,7,7,4,9,10,5,6,8,1,3,2,0
0.48534999999999995,0.4420568750000004,0.2511,0.3240604999999998,0.5,0.3672041666666667,0.3775,0.3381371249999998,0.0682,0.0932935000000001,0.11085,0.23884999999999987,0.0599,0.1875085,0.06055,0.07966600000000006,0.2506,0.2957430000000002,0.0605,0.16828850000000006,0.060899999999999996,0.19694599999999998,0.0599,DyS,6,0.07966600000000006,SORD,7,7,4,9,6,10,5,8,1,3,2,0
0.47485,0.4435059999999998,0.32155,0.30953149999999996,0.3795,0.3898805,0.3909,0.3415319666666667,0.11074999999999999,0.0883430000000001,0.17184999999999997,0.23438117857142848,0.0975,0.19240300000000005,0.08904999999999999,0.07652370000000001,0.24745,0.32385899999999984,0.08045,0.16061174999999983,0.06885,0.2366080000000001,0.06885,X,10,0.07652370000000001,SORD,7,7,4,9,6,5,10,1,8,3,2,0
0.2146,0.17730766666666664,0.12895,0.09458129999999995,0.2181,0.2528665833333333,0.21170000000000003,0.1695774999999999,0.09480000000000001,0.11310033333333334,0.09179999999999999,0.0833230000000001,0.1041,0.08019199999999996,0.08455,0.08638669999999998,0.08900000000000001,0.10558800000000002,0.12895,0.1210706666666666,0.12895,0.10795524999999997,0.08455,SORD,7,0.08019199999999996,DyS,6,6,5,7,1,8,10,4,9,3,0,2
