Method,Dataset,MAE
BASELINE+TOP3+MEDIAN,phpV5QYya,0.014785
BASELINE+TOP3+MEDIAN,pol,0.022105
BASELINE+TOP3+MEDIAN,pollen,0.3228566666666667
BASELINE+TOP3+MEDIAN,puma32H,0.068505
BASELINE+TOP3+MEDIAN,puma8NH,0.0472216666666666
BASELINE+TOP3+MEDIAN,quake,0.2556566666666666
BASELINE+TOP3+MEDIAN,space_ga,0.0316566666666666
BASELINE+TOP3+MEDIAN,sylva_prior,0.009185
BASELINE+TOP3+MEDIAN,visualizing_soil,0.0025966666666666
BASELINE+TOP3+MEDIAN,wind,0.0215616666666666
BASELINE+TOP5+MEAN,1043_ada_agnostic,0.0612426666666666
BASELINE+TOP5+MEAN,11_balance-scale,0.0180866666666666
BASELINE+TOP5+MEAN,12_mfeat-factors,0.0105506666666666
BASELINE+TOP5+MEAN,1460_banana,0.1654929999999999
BASELINE+TOP5+MEAN,1462_banknote-authentication,0.0053603333333333
BASELINE+TOP5+MEAN,1466_cardiotocography,0.0028323333333333
BASELINE+TOP5+MEAN,1475_first-order-theorem-proving,0.0637656666666666
BASELINE+TOP5+MEAN,1479_hill-valley,0.0638249999999999
BASELINE+TOP5+MEAN,1485_madelon,0.096274
BASELINE+TOP5+MEAN,1489_phoneme,0.0660146666666666
BASELINE+TOP5+MEAN,1494_qsar-biodeg,0.0427453333333333
BASELINE+TOP5+MEAN,1496_ringnorm,0.0519196666666666
BASELINE+TOP5+MEAN,1497_wall-robot-navigation,0.0435353333333333
BASELINE+TOP5+MEAN,14_mfeat-fourier,0.0143686666666666
BASELINE+TOP5+MEAN,1504_steel-plates-fault,0.0013163333333333
BASELINE+TOP5+MEAN,1507_twonorm,0.00518
BASELINE+TOP5+MEAN,1510_wdbc,0.0087146666666666
BASELINE+TOP5+MEAN,1526_wall-robot-navigation,0.0465583333333333
BASELINE+TOP5+MEAN,1527_volcanoes-a1,0.0396856666666666
BASELINE+TOP5+MEAN,1535_volcanoes-b5,0.1139763333333333
BASELINE+TOP5+MEAN,1538_volcanoes-d1,0.2838779999999999
BASELINE+TOP5+MEAN,1539_volcanoes-d2,0.2542379999999999
BASELINE+TOP5+MEAN,1540_volcanoes-d3,0.1193859999999999
BASELINE+TOP5+MEAN,1541_volcanoes-d4,0.1463903333333333
BASELINE+TOP5+MEAN,1547_autoUniv-au1-1000,0.1878933333333333
BASELINE+TOP5+MEAN,1566_hill-valley,0.1060143333333333
BASELINE+TOP5+MEAN,1570_wilt,0.1145443333333333
BASELINE+TOP5+MEAN,16_mfeat-karhunen,0.0253546666666666
BASELINE+TOP5+MEAN,182_satimage,0.0049873333333333
BASELINE+TOP5+MEAN,18_mfeat-morphological,0.008424
BASELINE+TOP5+MEAN,20_mfeat-pixel,0.0206873333333333
BASELINE+TOP5+MEAN,22_mfeat-zernike,0.042723
BASELINE+TOP5+MEAN,23_cmc,0.079272
BASELINE+TOP5+MEAN,28_optdigits,0.021797
BASELINE+TOP5+MEAN,292_Australian,0.0344966666666666
BASELINE+TOP5+MEAN,294_satellite_image,0.0104246666666666
BASELINE+TOP5+MEAN,30_page-blocks,0.0248136666666666
BASELINE+TOP5+MEAN,312_scene,0.0087739999999999
BASELINE+TOP5+MEAN,333_monks-problems-1,0.0749869999999999
BASELINE+TOP5+MEAN,334_monks-problems-2,0.2652986666666666
BASELINE+TOP5+MEAN,335_monks-problems-3,0.034029
BASELINE+TOP5+MEAN,36_segment,0.005571
BASELINE+TOP5+MEAN,375_JapaneseVowels,0.0139543333333333
BASELINE+TOP5+MEAN,37_diabetes,0.0766243333333333
BASELINE+TOP5+MEAN,40474_thyroid-allbp,0.0597713333333333
BASELINE+TOP5+MEAN,40475_thyroid-allhyper,0.069392
BASELINE+TOP5+MEAN,40733_yeast,0.1372573333333333
BASELINE+TOP5+MEAN,44_spambase,0.0195986666666666
BASELINE+TOP5+MEAN,4538_GesturePhaseSegmentationProcessed,0.1138813333333333
BASELINE+TOP5+MEAN,458_analcatdata_authorship,0.0072043333333333
BASELINE+TOP5+MEAN,54_vehicle,0.0207116666666666
BASELINE+TOP5+MEAN,60_waveform-5000,0.027311
BASELINE+TOP5+MEAN,679_rmftsa_sleepdata,0.2517036666666666
BASELINE+TOP5+MEAN,AedesQuinx,0.0393403333333333
BASELINE+TOP5+MEAN,AedesSex,0.007712
BASELINE+TOP5+MEAN,anuranCalls,0.015371
BASELINE+TOP5+MEAN,ArabicDigit,0.00473
BASELINE+TOP5+MEAN,BNG,0.006763
BASELINE+TOP5+MEAN,click-prediction,0.194722
BASELINE+TOP5+MEAN,cmc,0.0772649999999999
BASELINE+TOP5+MEAN,covtype_reduced,0.0407519999999999
BASELINE+TOP5+MEAN,default_credit_card_clients,0.098702
BASELINE+TOP5+MEAN,eeg,0.1231683333333333
